flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
757 JURONG WEST ST 74,Jurong Central Park,1.51,1,Gek Poh Shopping Centre,0.35,4,Westwood Primary School,0.28,3,Jurong West Hawker Centre,1.0,3
404 SERANGOON AVE 1,Japanese Cemetery Park,2.08,0,NEX,0.41,4,Yangzheng Primary School,0.46,1,Woodleigh Village Hawker Centre,0.81,2
335A ANCHORVALE CRES,Sengkang Riverside Park,0.2,2,Compass One,0.97,6,Springdale Primary School,0.42,7,Anchorvale Village Hawker Centre,0.17,3
117 SIMEI ST 1,Sun Plaza Park,1.79,1,Eastpoint Mall,0.28,7,Chongzheng Primary School,0.67,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.75,3
996A BUANGKOK CRES,Sengkang Riverside Park,1.46,3,Buangkok Square,0.24,6,Sengkang Green Primary School,1.0,4,Fernvale Hawker Centre & Market,0.76,4
723 TAMPINES ST 72,Sun Plaza Park,0.96,2,Our Tampines Hub,0.9,5,Tampines Primary School,1.49,2,Hawker Centre @ Our Tampines Hub,0.84,2
114 WHAMPOA RD,Toa Payoh Town Park,1.21,1,HDB Hub,1.12,6,Pei Chun Public School,1.28,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.38,13
505 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.46,3,Jubilee Square,0.43,4,Ai Tong School,2.48,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.5,9
145 LOR 2 TOA PAYOH,Toa Payoh Town Park,0.55,2,HDB Hub,0.54,4,CHIJ Primary (Toa Payoh),0.55,2,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),0.36,8
181 YUNG SHENG RD,Japanese Garden,0.98,3,Taman Jurong Shopping Centre,0.21,3,Rulang Primary School,1.49,1,Taman Jurong Market and Food Centre,0.11,4
477 PASIR RIS DR 6,Pasir Ris Town Park,0.73,2,Downtown East,0.34,2,Pasir Ris Primary School,0.56,1,Pasir Ris Central Hawker Centre,0.76,1
275 TOH GUAN RD,Chinese Garden,1.7,1,IMM,0.69,4,Keming Primary School,0.99,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.16,3
364A UPP SERANGOON RD,Punggol Park,0.79,1,Hougang Mall,0.39,6,Holy Innocents’ Primary School,0.5,2,Buangkok Hawker Centre,1.39,4
10A BOON TIONG RD,Tiong Bahru Park,0.56,4,Tiong Bahru Plaza,0.23,13,River Valley Primary School,1.12,2,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),0.18,17
758 CHOA CHU KANG NTH 5,Choa Chu Kang Park,0.31,1,Limbang Shopping Centre,0.36,7,South View Primary School,1.27,1,Senja Hawker Centre,1.79,1
144 SERANGOON NTH AVE 1,Japanese Cemetery Park,0.51,1,myVillage At Serangoon Garden,0.93,4,Xinmin Primary School,1.19,1,Chomp Chomp Food Centre,0.82,5
28C DOVER CRES,One-north Park,0.98,2,Rochester Mall,0.68,3,Fairfield Methodist School (Primary),0.67,1,Ghim Moh Road Blk 20,0.88,6
