flat,top_school,top_school_dist,num_top_school_2km
628 BT BATOK CTRL,Dazhong Primary School,0.8662250828653959,3
76 TELOK BLANGAH DR,Radin Mas Primary School,1.7202472727713911,1
37 JLN RUMAH TINGGI,Radin Mas Primary School,2.2967486628038247,0
16 TAMAN HO SWEE,River Valley Primary School,0.8411319883510496,2
22 TELOK BLANGAH CRES,Radin Mas Primary School,0.5171819483573159,1
33 TELOK BLANGAH WAY,Radin Mas Primary School,0.23259932933726674,1
12 TELOK BLANGAH CRES,Radin Mas Primary School,0.5753403159508709,1
43 TELOK BLANGAH RISE,Radin Mas Primary School,0.5172656069267296,1
107 JLN BT MERAH,Radin Mas Primary School,0.5431681404817881,1
44 TELOK BLANGAH DR,Radin Mas Primary School,1.5754870689165015,1
142 JLN BT MERAH,Radin Mas Primary School,0.4865054451167103,1
18 TELOK BLANGAH CRES,Radin Mas Primary School,0.3746195949921204,1
2 JLN BT MERAH,Radin Mas Primary School,2.1569221558149168,0
101 BT PURMEI RD,Radin Mas Primary School,0.4208336897477161,1
6 TELOK BLANGAH CRES,Radin Mas Primary School,0.7271741047554096,1
42 TELOK BLANGAH RISE,Radin Mas Primary School,0.47695882736128653,1
64 TELOK BLANGAH DR,Radin Mas Primary School,1.5202666901495079,1
75 TELOK BLANGAH DR,Radin Mas Primary School,1.7242535670692634,1
105 HENDERSON CRES,River Valley Primary School,1.5825532201618324,2
63 TELOK BLANGAH HTS,Radin Mas Primary School,1.4743425611256513,1
61 TELOK BLANGAH HTS,Radin Mas Primary School,1.3581822468959828,1
132 JLN BT MERAH,Radin Mas Primary School,0.620100219393833,2
146 JLN BT MERAH,Radin Mas Primary School,0.8177164971602489,2
101 HENDERSON CRES,River Valley Primary School,1.647093279755835,2
21 TELOK BLANGAH CRES,Radin Mas Primary School,0.4090892172659027,1
22 HAVELOCK RD,River Valley Primary School,0.9805851942920638,2
2 EVERTON PK,Radin Mas Primary School,1.7070260686011953,2
128 BT MERAH VIEW,Radin Mas Primary School,0.8555413928720805,2
26A JLN MEMBINA,Radin Mas Primary School,0.9199942435689903,2
23 TELOK BLANGAH CRES,Radin Mas Primary School,0.39281394163023603,1
52 LENGKOK BAHRU,Radin Mas Primary School,1.921567482110034,1
40 TELOK BLANGAH RISE,Radin Mas Primary School,0.33310082153714343,1
24 TELOK BLANGAH CRES,Radin Mas Primary School,0.39576641683317865,1
102 HENDERSON CRES,River Valley Primary School,1.6617553503769151,2
56 TELOK BLANGAH HTS,Radin Mas Primary School,1.3110267012121646,1
26D JLN MEMBINA,Radin Mas Primary School,0.7976033587216314,2
13 CANTONMENT CL,Radin Mas Primary School,1.813964954936979,1
51 TELOK BLANGAH DR,Radin Mas Primary School,1.6156067410570492,1
77 TELOK BLANGAH DR,Radin Mas Primary School,1.7142511198706674,1
44 MOH GUAN TER,River Valley Primary School,1.212615020622117,2
14A TELOK BLANGAH CRES,Radin Mas Primary School,0.494090293628259,1
55 TELOK BLANGAH DR,Radin Mas Primary School,1.3443534689967118,1
109B DEPOT RD,Radin Mas Primary School,1.794244898129874,1
3 DELTA AVE,River Valley Primary School,1.0048060772031568,2
50 TELOK BLANGAH DR,Radin Mas Primary School,1.576651727018816,1
88 TELOK BLANGAH HTS,Radin Mas Primary School,1.7931826266845747,1
11 CANTONMENT CL,Radin Mas Primary School,1.7241676751222288,1
115 BT PURMEI RD,Radin Mas Primary School,0.3104474612114749,1
118D JLN MEMBINA,Radin Mas Primary School,0.8945863202764104,2
5 DELTA AVE,River Valley Primary School,0.9610927970111689,2
39 TELOK BLANGAH RISE,Radin Mas Primary School,0.4012724023138412,1
17 CANTONMENT CL,Radin Mas Primary School,1.746804690690848,1
14 TELOK BLANGAH CRES,Radin Mas Primary School,0.49386309439898046,1
