flat,station_name,station_dist,num_station_2km
55 TELOK BLANGAH DR,Telok Blangah,0.6170178130574103,4
109B DEPOT RD,Telok Blangah,0.6995128578723071,4
3 DELTA AVE,Great World,0.552676253420804,8
50 TELOK BLANGAH DR,Telok Blangah,0.4440507918151237,4
88 TELOK BLANGAH HTS,Telok Blangah,0.2941709366527608,4
11 CANTONMENT CL,Maxwell,0.8038294437829202,10
115 BT PURMEI RD,Tiong Bahru,1.316585157961219,6
118D JLN MEMBINA,Tiong Bahru,0.865101658964121,6
5 DELTA AVE,Great World,0.5056102471244556,8
39 TELOK BLANGAH RISE,HarbourFront,0.8961607408797717,4
17 CANTONMENT CL,Maxwell,0.8166752538225859,9
14 TELOK BLANGAH CRES,Redhill,1.12204172513119,5
50 HOY FATT RD,Redhill,0.7671935386503216,4
114 DEPOT RD,Telok Blangah,0.7267188103895039,5
66 TELOK BLANGAH DR,Telok Blangah,0.34228856477572145,4
6A BOON TIONG RD,Havelock,0.2465399109513668,10
12 CANTONMENT CL,Maxwell,0.7613705105665205,10
81 REDHILL LANE,Redhill,0.14071297746387415,6
75C REDHILL RD,Redhill,0.2954480329058318,6
16 CANTONMENT CL,Maxwell,0.7718997789937743,9
106A DEPOT RD,Telok Blangah,0.7623407050207356,4
83 REDHILL LANE,Redhill,0.13423042774684965,6
77A REDHILL RD,Redhill,0.15677116143521738,6
118C JLN MEMBINA,Tiong Bahru,0.9088736761889818,6
19 JLN MEMBINA,Havelock,0.7988335937489175,6
95 HAVELOCK RD,Havelock,0.0,13
9 CANTONMENT CL,Maxwell,0.817279152714234,10
75A REDHILL RD,Redhill,0.3475925788422022,5
106 SPOTTISWOODE PK RD,Outram Park,1.2410484610738117,8
8B BOON TIONG RD,Havelock,0.3259144932079251,8
119B KIM TIAN RD,Tiong Bahru,0.8593487435634348,6
87 TELOK BLANGAH HTS,Telok Blangah,0.2429486574127229,4
75B REDHILL RD,Redhill,0.3001965332745359,5
103 SPOTTISWOODE PK RD,Outram Park,1.0774271029086755,8
7 KIM TIAN PL,Tiong Bahru,0.7941052571339486,6
14 JLN BT MERAH,Queenstown,1.0276109048613609,6
6B BOON TIONG RD,Havelock,0.31022667847804414,10
73A REDHILL RD,Redhill,0.1829820177700051,6
131B KIM TIAN RD,Tiong Bahru,0.7685487577340059,6
76A REDHILL RD,Redhill,0.2248237419953886,6
