flat,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
246 SIMEI ST 5,Tampines,0.7833625997196492,6,Tampines,0.7833625997196492,6,0
3 UPP ALJUNIED LANE,MacPherson,0.3532601099055655,11,MacPherson,0.3532601099055655,11,0
119 POTONG PASIR AVE 1,Toa Payoh,0.33366734037417,11,Toa Payoh,0.33366734037417,10,0
8 JOO SENG RD,MacPherson,0.4344687986914665,11,MacPherson,0.4344687986914665,11,0
46 LOR 5 TOA PAYOH,Marymount,0.611502185260845,6,Marymount,0.611502185260845,6,0
130 POTONG PASIR AVE 1,Potong Pasir,0.1713043561947555,11,Potong Pasir,0.1713043561947555,11,0
544 WOODLANDS DR 16,Woodlands South ,0.9544534892574572,4,Woodlands South,0.9544534892574572,3,0
367 WOODLANDS AVE 5,Woodlands South ,0.2496782188102056,5,Woodlands South,0.2496782188102056,4,0
689C WOODLANDS DR 75,Admiralty,0.5854408002023828,4,Admiralty,0.6629063049326711,2,0
895B WOODLANDS DR 50,Woodlands South ,0.4350743525706364,6,Woodlands South,0.4350743525706364,5,0
360 WOODLANDS AVE 5,Woodlands South ,0.3905442968832021,3,Woodlands South,0.3905442968832021,3,0
323 WOODLANDS ST 32,Woodlands South ,1.0679153639780448,2,Woodlands South,1.0679153639780448,2,0
234 YISHUN ST 21,Yishun,0.4211446896300759,2,Yishun,0.4211446896300759,2,0
236 YISHUN RING RD,Yishun,0.4538059545526389,2,Yishun,0.4538059545526389,2,0
864 YISHUN AVE 4,Khatib,0.9926189674723608,2,Khatib,0.9926189674723608,2,0
337 ANG MO KIO AVE 1,Ang Mo Kio,0.8731927010570819,4,Teck Ghee,0.2744989608921176,7,3
336 ANG MO KIO AVE 1,Ang Mo Kio,0.8490497880768001,4,Teck Ghee,0.2389335651442128,7,3
326 ANG MO KIO AVE 3,Ang Mo Kio,0.2986553737802748,4,Ang Mo Kio,0.2986553737802748,6,2
171 ANG MO KIO AVE 4,Mayflower,0.4838667655525862,6,Mayflower,0.4838667655525862,7,1
123 BEDOK RESERVOIR RD,Kaki Bukit,0.9680712876218376,6,Kaki Bukit,0.9680712876218376,5,0
52 CHAI CHEE ST,Bedok North,0.7042053241316526,4,Bedok Reservoir,0.8519101213495673,5,1
722 BEDOK RESERVOIR RD,Bedok Reservoir,0.8557472512990626,4,Bedok Reservoir,0.8557472512990626,4,0
664 JLN DAMAI,Kaki Bukit,0.7834388743450565,5,Kaki Bukit,0.7834388743450565,5,0
219B BEDOK CTRL,Bedok,0.6381365369125368,4,Bedok North,0.3585732614077648,6,2
108 LENGKONG TIGA,Kembangan,0.5968539644238905,8,Kembangan,0.5968539644238905,7,0
182 BISHAN ST 13,Lorong Chuan,1.027131348282832,4,Lorong Chuan,1.027131348282832,5,1
255 BISHAN ST 22,Bishan,0.8162926983013103,5,Bright Hill,0.8106135146147507,6,1
286 BISHAN ST 24,Bishan,1.1257993268419209,4,Bright Hill,1.0125051525387765,5,1
408 SIN MING AVE,Bishan,0.2589117771247732,6,Bright Hill,0.1723573677574988,7,1
158 BISHAN ST 13,Marymount,0.6819005944400041,6,Marymount,0.6819005944400041,6,0
117 BISHAN ST 12,Marymount,1.0723186463951806,4,Marymount,1.0723186463951806,4,0
119 BISHAN ST 12,Marymount,1.0547141326044542,4,Marymount,1.0547141326044542,4,0
359 BT BATOK ST 31,Hillview,1.2019285384508365,5,Bukit Batok West,0.6023158965832992,7,2
297 BT BATOK ST 22,Bukit Batok,0.1134732948533293,4,Bukit Batok,0.1134732948533293,8,4
28 HOY FATT RD,Redhill,0.9134544792770348,4,Redhill,0.9134544792770348,4,0
144 JLN BT MERAH,Tiong Bahru,0.9532468237464532,8,Tiong Bahru,0.9532468237464532,8,0
54 TELOK BLANGAH DR,Telok Blangah,0.6049594989525807,4,Telok Blangah,0.6049594989525807,4,0
106 HENDERSON CRES,Redhill,0.502399773970595,8,Redhill,0.502399773970595,8,0
511 JELAPANG RD,Jelapang,0.4506019864686307,11,Jelapang,0.4506019864686307,11,0
296D CHOA CHU KANG AVE 2,Keat Hong,0.2437296326618012,5,Keat Hong,0.2437296326618012,6,1
294 CHOA CHU KANG AVE 2,Keat Hong,0.4935262888860084,4,Keat Hong,0.4935262888860084,6,2
350 CLEMENTI AVE 2,Clementi,0.926344275489644,2,Clementi,0.926344275489644,4,2
315 CLEMENTI AVE 4,Clementi,0.6084850751242095,1,Clementi,0.6084850751242095,4,3
717 CLEMENTI WEST ST 2,Kent Ridge,1.3274615086906263,1,Kent Ridge,1.3274615086906263,2,1
415 C'WEALTH AVE WEST,Kent Ridge,1.4541191766853407,2,Kent Ridge,1.4541191766853407,4,2
111 ALJUNIED CRES,Mattar,0.7245789572120251,9,Mattar,0.7245789572120251,9,0
665 HOUGANG AVE 4,Hougang,0.5779018016851648,5,Hougang,0.5779018016851648,6,1
608 HOUGANG AVE 4,Hougang,0.854388494296748,6,Hougang,0.854388494296748,7,1
351 HOUGANG AVE 7,Buangkok,1.176287628542798,6,Defu,1.0827988038471998,7,1
568 HOUGANG ST 51,Compassvale,0.8663823640022458,9,Renjong,0.9690625395694475,9,0
601 HOUGANG AVE 4,Hougang,1.0186452921592484,6,Hougang,1.0186452921592484,7,1
407 HOUGANG AVE 10,Ranggung,1.257459550758249,7,Ranggung,1.257459550758249,8,1
253 JURONG EAST ST 24,Jurong East,0.2226652274604182,5,Jurong East,0.2226652274604182,10,5
315 JURONG EAST ST 32,Jurong East,0.3271915396519195,5,Jurong East,0.3271915396519195,9,4
224 JURONG EAST ST 21,Jurong East,0.317810937125206,5,Jurong East,0.317810937125206,9,4
331 JURONG EAST AVE 1,Jurong East,0.91173208988502,5,Tengah Plantation,0.8103307572924592,7,2
405 PANDAN GDNS,Clementi,2.0443263929405524,0,Pandan Reservoir,0.2145287639091687,3,3
441 JURONG WEST AVE 1,Boon Lay,1.2109236883322223,3,Hong Kah,0.2455859036873647,7,4
913 JURONG WEST ST 91,Pioneer,1.5016613830716508,1,Tawas,1.2213314249901883,6,5
717 JURONG WEST ST 71,Pioneer,1.1393919751556585,2,Gek Poh,0.6399834454796137,6,4
843 JURONG WEST ST 81,Pioneer,1.3256967942952538,2,Gek Poh,0.7210260780362259,7,5
360 YUNG AN RD,Lakeside,1.1538717502852582,5,Corporation,0.4118662981504031,9,4
324 TAH CHING RD,Lakeside,0.8994041758890785,5,Corporation,0.3026521486292463,9,4
268B BOON LAY DR,Boon Lay,0.274511820633224,1,Boon Lay,0.274511820633224,6,5
649B JURONG WEST ST 61,Pioneer,0.5826081296674134,2,Pioneer,0.5826081296674134,6,4
