flat,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards
329 BT BATOK ST 33,Bukit Batok West,0.6079275164287453,7
337 BT BATOK ST 34,Bukit Batok West,0.6889003068056053,7
369 BT BATOK ST 31,Bukit Batok West,0.4993417019872607,6
182 BT BATOK WEST AVE 8,Bukit Batok,0.3626056513217239,9
308 BT BATOK ST 31,Bukit Batok West,0.13767851542891896,6
234 BT BATOK EAST AVE 5,Bukit Batok,0.9945385473364239,4
368 BT BATOK ST 31,Bukit Batok West,0.49357273215999414,6
242 BT BATOK EAST AVE 5,Hillview,0.8713232745476246,4
165 BT BATOK WEST AVE 8,Bukit Batok,0.5890066706533218,9
288D BT BATOK ST 25,Toh Guan,1.1983794120250946,5
260 BT BATOK EAST AVE 4,Hillview,0.7224667929050471,4
316 BT BATOK ST 32,Bukit Batok West,0.32937708868138293,6
350 BT BATOK ST 34,Bukit Batok West,0.4702768881734442,6
341 BT BATOK ST 34,Bukit Batok West,0.6094185737272336,7
244 BT BATOK EAST AVE 5,Hillview,0.9764165509172156,4
363 BT BATOK ST 31,Bukit Batok West,0.44573576880944754,6
227 BT BATOK CTRL,Bukit Batok,0.7665248651975758,4
233 BT BATOK EAST AVE 5,Bukit Batok,0.951408914032308,4
539 BT BATOK ST 52,Bukit Batok West,0.5120141177505456,6
169 BT BATOK WEST AVE 8,Bukit Batok,0.6865674389386996,9
247 BT BATOK EAST AVE 5,Hillview,0.9178227823442385,4
289F BT BATOK ST 25,Toh Guan,1.0850112373151792,5
514 BT BATOK ST 52,Bukit Batok West,0.6874400565987956,5
257 BT BATOK EAST AVE 4,Hillview,0.7430693889057914,4
193 BT BATOK WEST AVE 6,Bukit Batok,0.29225799294616833,9
325 BT BATOK ST 33,Bukit Batok West,0.5499512254072246,6
290F BT BATOK ST 24,Toh Guan,0.8927084338348682,5
301 BT BATOK ST 31,Bukit Batok West,0.19311062313025146,5
395 BT BATOK WEST AVE 5,Bukit Gombak,0.9584546665169136,7
426 BT BATOK WEST AVE 2,Bukit Batok West,0.5198544654628663,6
392 BT BATOK WEST AVE 5,Bukit Gombak,0.8709436771478686,9
386 BT BATOK WEST AVE 5,Bukit Batok West,0.9124771949003095,6
201 BT BATOK ST 21,Bukit Batok,0.09661892234901963,9
171 BT BATOK WEST AVE 8,Jurong East,0.6360681762710189,9
291A BT BATOK ST 24,Toh Guan,0.8005635986185667,4
357 BT BATOK ST 31,Bukit Batok West,0.5990712490947223,7
394 BT BATOK WEST AVE 5,Bukit Gombak,0.912488461479108,9
620 BT BATOK CTRL,Bukit Batok,0.43567517315351467,8
117 BT BATOK WEST AVE 6,Bukit Batok,0.4377013366769748,8
388 BT BATOK WEST AVE 5,Bukit Batok West,0.9662168297898244,7
542 BT BATOK ST 52,Bukit Batok West,0.5946888337652713,6
383 BT BATOK WEST AVE 5,Bukit Batok West,0.7564787036229069,6
110 BT BATOK WEST AVE 6,Bukit Batok,0.21976746918815024,8
120 BT BATOK CTRL,Bukit Batok,0.5633807777707781,8
623 BT BATOK CTRL,Bukit Batok,0.5926864023909956,7
288A BT BATOK ST 25,Toh Guan,1.233944960825519,4
299 BT BATOK ST 22,Bukit Batok,0.19482232272452396,8
289C BT BATOK ST 25,Toh Guan,1.0785626646200075,4
628 BT BATOK CTRL,Bukit Batok,0.6787083366200835,6
76 TELOK BLANGAH DR,Telok Blangah,0.23975606854740777,4
37 JLN RUMAH TINGGI,Queenstown,0.8754807590333633,4
16 TAMAN HO SWEE,Havelock,0.1469405251992649,10
22 TELOK BLANGAH CRES,Redhill,1.2003248365542663,6
33 TELOK BLANGAH WAY,HarbourFront,1.1692209704862042,5
12 TELOK BLANGAH CRES,Redhill,1.1272499359063588,6
43 TELOK BLANGAH RISE,HarbourFront,0.7830971909284044,3
107 JLN BT MERAH,Redhill,1.0941266983651001,6
44 TELOK BLANGAH DR,Telok Blangah,0.6007695721425841,4
142 JLN BT MERAH,Tiong Bahru,1.0962730740980473,7
18 TELOK BLANGAH CRES,Redhill,1.1405620942019672,6
2 JLN BT MERAH,Redhill,1.1594333974218096,5
101 BT PURMEI RD,HarbourFront,1.0261512938414612,4
6 TELOK BLANGAH CRES,Redhill,1.0127907352611394,6
42 TELOK BLANGAH RISE,HarbourFront,0.8150129984942641,4
64 TELOK BLANGAH DR,Telok Blangah,0.4289445136936743,4
75 TELOK BLANGAH DR,Telok Blangah,0.21984798514069817,4
105 HENDERSON CRES,Redhill,0.553194331724356,8
63 TELOK BLANGAH HTS,Telok Blangah,0.46909986935906184,4
61 TELOK BLANGAH HTS,Telok Blangah,0.5888218607538449,4
132 JLN BT MERAH,Tiong Bahru,0.9323800010547013,8
146 JLN BT MERAH,Tiong Bahru,0.8587766939339276,10
101 HENDERSON CRES,Redhill,0.5274882807879075,7
21 TELOK BLANGAH CRES,Redhill,1.2176296088379435,5
22 HAVELOCK RD,Havelock,0.40886479111104934,8
2 EVERTON PK,Chinatown,0.6912044890076547,11
128 BT MERAH VIEW,Redhill,0.7597496871597723,5
26A JLN MEMBINA,Tiong Bahru,0.910936342404737,6
23 TELOK BLANGAH CRES,Redhill,1.272890895158451,5
52 LENGKOK BAHRU,Redhill,0.5671730870779224,3
40 TELOK BLANGAH RISE,HarbourFront,0.9589741471250384,4
24 TELOK BLANGAH CRES,HarbourFront,1.2657813301203213,5
102 HENDERSON CRES,Redhill,0.4964824571911088,7
56 TELOK BLANGAH HTS,Telok Blangah,0.6414046968565351,4
26D JLN MEMBINA,Redhill,0.9591528749319875,5
13 CANTONMENT CL,Maxwell,0.7090283449952557,10
51 TELOK BLANGAH DR,Telok Blangah,0.383220755244932,4
77 TELOK BLANGAH DR,Telok Blangah,0.26836939889638023,4
44 MOH GUAN TER,Tiong Bahru,0.3362134711743469,9
14A TELOK BLANGAH CRES,Redhill,1.0894642431750057,5
55 TELOK BLANGAH DR,Telok Blangah,0.6170178130574103,4
109B DEPOT RD,Telok Blangah,0.6995128578723071,4
3 DELTA AVE,Great World,0.552676253420804,8
50 TELOK BLANGAH DR,Telok Blangah,0.4440507918151237,4
88 TELOK BLANGAH HTS,Telok Blangah,0.2941709366527608,4
11 CANTONMENT CL,Maxwell,0.8038294437829202,10
115 BT PURMEI RD,Tiong Bahru,1.316585157961219,6
118D JLN MEMBINA,Tiong Bahru,0.865101658964121,6
5 DELTA AVE,Great World,0.5056102471244556,8
39 TELOK BLANGAH RISE,HarbourFront,0.8961607408797717,4
17 CANTONMENT CL,Maxwell,0.8166752538225859,9
14 TELOK BLANGAH CRES,Redhill,1.12204172513119,5
50 HOY FATT RD,Redhill,0.7671935386503216,4
114 DEPOT RD,Telok Blangah,0.7267188103895039,5
66 TELOK BLANGAH DR,Telok Blangah,0.34228856477572145,4
6A BOON TIONG RD,Havelock,0.2465399109513668,10
12 CANTONMENT CL,Maxwell,0.7613705105665205,10
81 REDHILL LANE,Redhill,0.14071297746387415,6
75C REDHILL RD,Redhill,0.2954480329058318,6
16 CANTONMENT CL,Maxwell,0.7718997789937743,9
106A DEPOT RD,Telok Blangah,0.7623407050207356,4
83 REDHILL LANE,Redhill,0.13423042774684965,6
77A REDHILL RD,Redhill,0.15677116143521738,6
118C JLN MEMBINA,Tiong Bahru,0.9088736761889818,6
19 JLN MEMBINA,Havelock,0.7988335937489175,6
95 HAVELOCK RD,Havelock,0.0,13
9 CANTONMENT CL,Maxwell,0.817279152714234,10
75A REDHILL RD,Redhill,0.3475925788422022,5
106 SPOTTISWOODE PK RD,Outram Park,1.2410484610738117,8
8B BOON TIONG RD,Havelock,0.3259144932079251,8
119B KIM TIAN RD,Tiong Bahru,0.8593487435634348,6
87 TELOK BLANGAH HTS,Telok Blangah,0.2429486574127229,4
75B REDHILL RD,Redhill,0.3001965332745359,5
103 SPOTTISWOODE PK RD,Outram Park,1.0774271029086755,8
7 KIM TIAN PL,Tiong Bahru,0.7941052571339486,6
14 JLN BT MERAH,Queenstown,1.0276109048613609,6
6B BOON TIONG RD,Havelock,0.31022667847804414,10
73A REDHILL RD,Redhill,0.1829820177700051,6
