Station Code,MRT Station English Name,MRT Station Chinese Name,MRT Line English,MRT Line Chinese
TE15,Great World,大世界,Thomson-East Coast Line,汤申-东海岸地铁线
EW30,Gul Circle,卡尔圈 站,East West Line,东西线
NE1,HarbourFront,港湾,North East Line,东北线
CC29,HarbourFront,港湾,Circle Line,环线
TE16,Havelock,合乐,Thomson-East Coast Line,汤申-东海岸地铁线
CC25,Haw Par Villa,虎豹别墅,Circle Line,环线
DT3,Hillview,山景,Downtown Line,滨海市区线
CC21,Holland Village,荷兰村,Circle Line,环线
JS4,Hong Kah,丰加,Jurong Region Line,裕廊区域线
NE14,Hougang,后港,North East Line,东北线
DT22,Jalan Besar,惹兰勿刹,Downtown Line,滨海市区线
BP12,Jelapang,泽拉邦,Bukit Panjang LRT,武吉班让轻轨线
EW29,Joo Koon,裕群,East West Line,东西线
NS1,Jurong East,裕廊东,North South Line,南北线
EW24,Jurong East,裕廊东,East West Line,东西线
JS11,Jurong Hill,裕廊山,Jurong Region Line,裕廊区域线
CR19,Jurong Lake District,裕廊湖区,Cross Island Line,跨岛地铁线
JS12,Jurong Pier,裕廊渡头,Jurong Region Line,裕廊区域线
JE6,Jurong Town Hall,裕廊镇大会堂,Jurong Region Line,裕廊区域线
JS6,Jurong West,裕廊西,Jurong Region Line,裕廊区域线
PE5,Kadaloor,卡达鲁,Punggol LRT,榜鹅轻轨线
DT28,Kaki Bukit,加基武吉,Downtown Line,滨海市区线
EW10,Kallang,加冷,East West Line,东西线
SE4,Kangkar,港脚,Sengkang LRT,盛港轻轨线
TE24,Katong Park,加东公园,Thomson-East Coast Line,汤申-东海岸地铁线
BP3,Keat Hong,吉丰,Bukit Panjang LRT,武吉班让轻轨线
EW6,Kembangan,景万岸,East West Line,东西线
CC24,Kent Ridge,肯特岗,Circle Line,环线
NS14,Khatib,卡迪,North South Line,南北线
DT6,King Albert Park,阿尔柏王园,Downtown Line,滨海市区线
NE13,Kovan,高文,North East Line,东北线
NS7,Kranji,克兰芝,North South Line,南北线
SW3,Kupang,古邦,Sengkang LRT,盛港轻轨线
CC27,Labrador Park,拉柏多公园,Circle Line,环线
EW26,Lakeside,湖畔,East West Line,东西线
EW11,Lavender,劳明达,East West Line,东西线
SW6,Layar,拉雅,Sengkang LRT,盛港轻轨线
TE5,Lentor,伦多,Thomson-East Coast Line,汤申-东海岸地铁线
NE7,Little India,小印度,North East Line,东北线
DT12,Little India,小印度,Downtown Line,滨海市区线
CC14,Lorong Chuan,罗弄泉,Circle Line,环线
CR3,Loyang,罗央,Cross Island Line,跨岛地铁线
DT26,MacPherson,麦波申,Downtown Line,滨海市区线
CC10,MacPherson,麦波申,Circle Line,环线
CR16,Maju,马裕,Cross Island Line,跨岛地铁线
NS27,Marina Bay,滨海湾,North South Line,南北线
CE2,Marina Bay,滨海湾,Circle Line Extension,环线延长线
TE20,Marina Bay,滨海湾,Thomson-East Coast Line,汤申-东海岸地铁线
TE21,Marina South,滨海南,Thomson-East Coast Line,汤申-东海岸地铁线
NS28,Marina South Pier,滨海南码头,North South Line,南北线
TE26,Marine Parade,马林百列,Thomson-East Coast Line,汤申-东海岸地铁线
TE27,Marine Terrace,马林台,Thomson-East Coast Line,汤申-东海岸地铁线
NS8,Marsiling,马西岭,North South Line,南北线
