,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
1237,CLEMENTI AVENUE 2 SHOPPING CENTRE,352,CLEMENTI AVENUE 2,CLEMENTI AVENUE 2 SHOPPING CENTRE,352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352,120352,21103.5526931826,32951.8534610327,1.31427860227337,103.771350557894,103.771350557894,Clementi
1238,CLEMENTI AVENUE 6 INTO AYE (CITY) - ERP(52),,NIL,CLEMENTI AVENUE 6 INTO AYE (CITY) - ERP(52),CLEMENTI AVENUE 6 INTO AYE (CITY) - ERP(52),NIL,19935.7731103962,33043.900094524,1.31511075463238,103.760857456698,103.760857456698,Clementi
1239,CLEMENTI BIBLE CENTRE,152,WEST COAST ROAD,CLEMENTI BIBLE CENTRE,152 WEST COAST ROAD CLEMENTI BIBLE CENTRE SINGAPORE 127370,127370,20493.1868759384,31673.7978975419,1.30272018342396,103.765866427623,103.765866427623,Clementi
1240,CLEMENTI BUS INTERCHANGE,441,COMMONWEALTH AVENUE WEST,CLEMENTI BUS INTERCHANGE,441 COMMONWEALTH AVENUE WEST CLEMENTI BUS INTERCHANGE SINGAPORE 120441,120441,20315.6082476266,33027.9409066252,1.3149665228556,103.764270468137,103.764270468137,Clementi
1241,CLEMENTI BUS INTERCHANGE,3155,COMMONWEALTH AVENUE WEST,CLEMENTI BUS INTERCHANGE,3155 COMMONWEALTH AVENUE WEST CLEMENTI BUS INTERCHANGE SINGAPORE 129588,129588,20315.6081870906,33027.9409066252,1.31496652285558,103.764270467593,103.764270467593,Clementi
1242,TAI SENG AVENUE,,TAI SENG AVENUE,NIL,TAI SENG AVENUE,NIL,34371.7121490874,35548.2832121574,1.33776069388241,103.890570357887,103.890570357887,Tai Seng
1243,TAI SENG DRIVE,,TAI SENG DRIVE,NIL,TAI SENG DRIVE,NIL,34665.778549121,35548.4258553109,1.33775848568757,103.893213182215,103.893213182215,Tai Seng
1244,TAI SENG LINK,,TAI SENG LINK,NIL,TAI SENG LINK,NIL,34337.1821614323,35451.2480774223,1.33688351551023,103.890262383654,103.890262383654,Tai Seng
1245,TAI SENG STREET,,TAI SENG STREET,NIL,TAI SENG STREET,NIL,34246.2554581034,35376.2237108879,1.33620537032654,103.889444065787,103.889444065787,Tai Seng
1246,TAI SENG EXCHANGE,1,TAI SENG AVENUE,TAI SENG EXCHANGE,1 TAI SENG AVENUE TAI SENG EXCHANGE SINGAPORE 536464,536464,34619.1618027464,35344.7780530155,1.33591941562407,103.892795568702,103.892795568702,Tai Seng
1247,TAI SENG EXCHANGE (BLOCK I),1,TAI SENG AVENUE,TAI SENG EXCHANGE (BLOCK I),1 TAI SENG AVENUE TAI SENG EXCHANGE (BLOCK I) SINGAPORE 536464,536464,34675.0195506169,35364.4628362264,1.33609742545092,103.893297486943,103.893297486943,Tai Seng
1248,TAI SENG EXCHANGE (TOWER A),1,TAI SENG AVENUE,TAI SENG EXCHANGE (TOWER A),1 TAI SENG AVENUE TAI SENG EXCHANGE (TOWER A) SINGAPORE 536464,536464,34622.764237632,35366.447205238,1.3361153828581,103.892827943361,103.892827943361,Tai Seng
1249,TAI SENG EXCHANGE (BLOCK F),1,TAI SENG AVENUE,TAI SENG EXCHANGE (BLOCK F),1 TAI SENG AVENUE TAI SENG EXCHANGE (BLOCK F) SINGAPORE 536464,536464,34589.6912593273,35300.3012486305,1.33551718982603,103.892530749327,103.892530749327,Tai Seng
1250,TAI SENG EXCHANGE (CENTRAL COURTYARD),1,TAI SENG AVENUE,TAI SENG EXCHANGE (CENTRAL COURTYARD),1 TAI SENG AVENUE TAI SENG EXCHANGE (CENTRAL COURTYARD) SINGAPORE 536464,536464,34557.9412037879,35350.5721926019,1.33597182907417,103.892245467725,103.892245467725,Tai Seng
1251,TAI SENG CENTRE,3,IRVING ROAD,TAI SENG CENTRE,3 IRVING ROAD TAI SENG CENTRE SINGAPORE 369522,369522,33960.2674785471,35331.5388974734,1.33579982244774,103.886875022095,103.886875022095,Tai Seng
1252,SAM KEE LRT STATION (PW1),10,SENTUL CRESCENT,SAM KEE LRT STATION (PW1),10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851,828851,35958.3967099339,43493.4470222741,1.40961268528804,103.904831550608,103.904831550608,Sam Kee
1253,BUKIT BATOK AVENUE 1,,BUKIT BATOK AVENUE 1,NIL,BUKIT BATOK AVENUE 1,NIL,18399.2207148881,36460.4328399625,1.34600823620384,103.747049734277,103.747049734277,Bukit Batok
1254,BUKIT BATOK STREET 11,,BUKIT BATOK STREET 11,NIL,BUKIT BATOK STREET 11,NIL,18000.8718425827,36790.0864826849,1.34898932894479,103.743470324013,103.743470324013,Bukit Batok
1255,BUKIT BATOK EAST AVENUE 2,,BUKIT BATOK EAST AVENUE 2,NIL,BUKIT BATOK EAST AVENUE 2,NIL,19471.585883878,37050.2718007129,1.35134266244518,103.756683680517,103.756683680517,Bukit Batok
1256,BUKIT BATOK WEST AVENUE 2,,BUKIT BATOK WEST AVENUE 2,NIL,BUKIT BATOK WEST AVENUE 2,NIL,18423.8757692999,37745.6840859707,1.35763046579871,103.747270873757,103.747270873757,Bukit Batok
1257,BUKIT BATOK STREET 21,,BUKIT BATOK STREET 21,NIL,BUKIT BATOK STREET 21,NIL,19101.3509077362,36517.2512959136,1.34652224188347,103.75335881118,103.75335881118,Bukit Batok
1258,BUKIT BATOK STREET 22,,BUKIT BATOK STREET 22,NIL,BUKIT BATOK STREET 22,NIL,18701.4961261955,36258.0736231494,1.3441782217518,103.749765903619,103.749765903619,Bukit Batok
1259,BUKIT BATOK STREET 23,,BUKIT BATOK STREET 23,NIL,BUKIT BATOK STREET 23,NIL,19386.9676877715,35848.4477777156,1.34047840568264,103.755917438096,103.755917438096,Bukit Batok
1260,BUKIT BATOK STREET 24,,BUKIT BATOK STREET 24,NIL,BUKIT BATOK STREET 24,NIL,19425.5653648388,36077.9008574289,1.34254911648768,103.756272573457,103.756272573457,Bukit Batok
1261,BUKIT BATOK STREET 25,,BUKIT BATOK STREET 25,NIL,BUKIT BATOK STREET 25,NIL,19944.3060999458,36180.1581392428,1.34347375118077,103.760933309337,103.760933309337,Bukit Batok
1262,BUKIT BATOK EAST AVENUE 3,,BUKIT BATOK EAST AVENUE 3,NIL,BUKIT BATOK EAST AVENUE 3,NIL,19797.1131717346,35881.965094925,1.34077430115545,103.759612035213,103.759612035213,Bukit Batok
1263,PETIR LRT STATION (BP7),31,PETIR ROAD,PETIR LRT STATION (BP7),31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269,678269,20580.1479736092,39972.6518196631,1.37777204259082,103.766645782497,103.766645782497,Petir
1264,PETIR PARK,,NIL,PETIR PARK,PETIR PARK,NIL,20783.4927376155,39736.0834335983,1.37563265485579,103.768473040916,103.768473040916,Petir
1265,UOB ONE RAFFLES PLACE,1,RAFFLES PLACE,UOB ONE RAFFLES PLACE,1 RAFFLES PLACE UOB ONE RAFFLES PLACE SINGAPORE 048616,048616,29973.4028055919,29630.9867053758,1.28424656418639,103.851050382307,103.851050382307,Raffles Place
1266,ONE RAFFLES PLACE,1,RAFFLES PLACE,ONE RAFFLES PLACE,1 RAFFLES PLACE ONE RAFFLES PLACE SINGAPORE 048616,048616,29975.8693435853,29642.373944601,1.28434954622306,103.851072545834,103.851072545834,Raffles Place
