flat,park,park_dist,num_park_2km
230 BT BATOK EAST AVE 3,Bukit Batok Town Park,1.093652477741604,2
219 BT BATOK ST 21,Bukit Batok Nature Park,1.1014916846672909,2
212 BT BATOK ST 21,Bukit Batok Town Park,1.2130003980614388,2
343 BT BATOK ST 34,Bukit Batok Town Park,0.9031470175498693,1
540 BT BATOK ST 52,Bukit Batok Town Park,0.604271215122321,2
537 BT BATOK ST 52,Bukit Batok Town Park,0.6044863587626284,2
213 BT BATOK ST 21,Bukit Batok Town Park,1.242909789892892,2
513 BT BATOK ST 52,Bukit Batok Town Park,0.5436430322023698,2
348 BT BATOK ST 34,Bukit Batok Town Park,0.759749495875161,1
310 BT BATOK ST 32,Bukit Batok Town Park,0.8007966590904724,1
331 BT BATOK ST 33,Bukit Batok Town Park,1.1198056673426242,1
408 BT BATOK WEST AVE 4,Bukit Batok Town Park,1.4383805251595003,1
370 BT BATOK ST 31,Bukit Batok Town Park,0.7027402916465061,1
329 BT BATOK ST 33,Bukit Batok Town Park,1.1096161158859164,1
337 BT BATOK ST 34,Bukit Batok Town Park,0.9607630449252588,1
369 BT BATOK ST 31,Bukit Batok Town Park,0.5846141472093634,1
182 BT BATOK WEST AVE 8,Chinese Garden,1.2838669249936934,3
308 BT BATOK ST 31,Bukit Batok Town Park,0.8550425362281823,1
234 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.9334791526051419,2
368 BT BATOK ST 31,Bukit Batok Town Park,0.6328157114648124,1
242 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.7340652842154232,2
165 BT BATOK WEST AVE 8,Chinese Garden,1.164344066860417,3
288D BT BATOK ST 25,Bukit Batok Nature Park,0.6580470476901865,3
260 BT BATOK EAST AVE 4,Bukit Batok Nature Park,0.747262079735323,3
316 BT BATOK ST 32,Bukit Batok Town Park,1.0437226183278634,1
350 BT BATOK ST 34,Bukit Batok Town Park,0.847050697808014,1
341 BT BATOK ST 34,Bukit Batok Town Park,0.9319207358386556,1
244 BT BATOK EAST AVE 5,Bukit Batok Nature Park,0.8685022930079113,2
363 BT BATOK ST 31,Bukit Batok Town Park,0.7954401346757303,1
227 BT BATOK CTRL,Bukit Batok Town Park,1.0459208528834454,2
233 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.9701868272418729,2
539 BT BATOK ST 52,Bukit Batok Town Park,0.6221926941078919,2
169 BT BATOK WEST AVE 8,Chinese Garden,1.026579140319638,2
247 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.8574654146757897,2
289F BT BATOK ST 25,Bukit Batok Nature Park,0.7293835844851031,3
514 BT BATOK ST 52,Bukit Batok Town Park,0.4901210992446414,2
257 BT BATOK EAST AVE 4,Bukit Batok Town Park,0.7517657666732815,2
193 BT BATOK WEST AVE 6,Chinese Garden,1.3624272577982326,3
325 BT BATOK ST 33,Bukit Batok Town Park,1.0780115581269798,1
290F BT BATOK ST 24,Bukit Batok Nature Park,0.9204327631627115,2
301 BT BATOK ST 31,Bukit Batok Town Park,0.7776108202329756,1
395 BT BATOK WEST AVE 5,Bukit Batok Town Park,1.039290662063575,1
426 BT BATOK WEST AVE 2,Bukit Batok Town Park,1.287692588927833,1
392 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.9546378512582433,1
386 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.7869128813689379,1
201 BT BATOK ST 21,Bukit Batok Town Park,1.5607396175505612,3
171 BT BATOK WEST AVE 8,Chinese Garden,0.9335658425714447,2
291A BT BATOK ST 24,Bukit Batok Nature Park,1.0764774833953805,2
357 BT BATOK ST 31,Bukit Batok Town Park,0.7033962205905283,1
394 BT BATOK WEST AVE 5,Bukit Batok Town Park,1.0347895472629676,1
620 BT BATOK CTRL,Bukit Batok Town Park,1.1925598472579502,3
117 BT BATOK WEST AVE 6,Bukit Batok Town Park,1.27333884666463,3
388 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.896621508462821,1
542 BT BATOK ST 52,Bukit Batok Town Park,0.6510457931619361,2
383 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.6540687273802861,1
110 BT BATOK WEST AVE 6,Chinese Garden,1.5640400852620084,2
120 BT BATOK CTRL,Bukit Batok Town Park,1.1468093090019773,3
623 BT BATOK CTRL,Bukit Batok Town Park,1.02794123352791,2
288A BT BATOK ST 25,Bukit Batok Nature Park,0.5627970652122578,3
299 BT BATOK ST 22,Chinese Garden,1.6105535596498097,2
289C BT BATOK ST 25,Bukit Batok Nature Park,0.7074743958148365,3
628 BT BATOK CTRL,Bukit Batok Town Park,0.9413782458482676,2
76 TELOK BLANGAH DR,The Southern Ridges,0.5025366859854425,5
37 JLN RUMAH TINGGI,Telok Blangah Hill Park,1.158012971743074,4
16 TAMAN HO SWEE,Tiong Bahru Park,0.7730739798790429,5
22 TELOK BLANGAH CRES,Mount Faber Park,0.4192540334101884,5
33 TELOK BLANGAH WAY,Mount Faber Park,0.22944717022434735,4
12 TELOK BLANGAH CRES,Mount Faber Park,0.4949649794272155,5
43 TELOK BLANGAH RISE,Mount Faber Park,0.3921329882383751,4
107 JLN BT MERAH,Tiong Bahru Park,0.8345502848524254,5
44 TELOK BLANGAH DR,The Southern Ridges,0.7700074517167018,5
142 JLN BT MERAH,Mount Faber Park,0.9334494491714103,5
18 TELOK BLANGAH CRES,Mount Faber Park,0.5908459773298324,5
2 JLN BT MERAH,Telok Blangah Hill Park,0.8092652879711336,4
101 BT PURMEI RD,Mount Faber Park,0.5722093347496062,4
6 TELOK BLANGAH CRES,Mount Faber Park,0.6346540634840427,5
42 TELOK BLANGAH RISE,Mount Faber Park,0.3066449285201096,4
64 TELOK BLANGAH DR,The Southern Ridges,0.41730945100441635,5
75 TELOK BLANGAH DR,The Southern Ridges,0.4585836853169964,5
105 HENDERSON CRES,Tiong Bahru Park,0.40702578538535494,5
63 TELOK BLANGAH HTS,The Southern Ridges,0.37649075439525853,5
61 TELOK BLANGAH HTS,The Southern Ridges,0.2951249874788754,6
132 JLN BT MERAH,Tiong Bahru Park,1.036965528629556,5
146 JLN BT MERAH,Pearl's Hill City Park,1.1345545999922064,5
101 HENDERSON CRES,Tiong Bahru Park,0.5026460455842083,4
21 TELOK BLANGAH CRES,Mount Faber Park,0.41240410320173093,4
